Sample	Row	Col	Blank	Project Plate	Project Name	Compressed Plate Name
1.29.21.RK.ST.2200	C	15	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.27.21.RK.ST.1400	E	15	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.26.21.RK.ST.1130	G	15	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.26.RK.ST.1530	I	15	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.26.21.RK.ST.2130	K	15	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.9.21.RK.ST.2300	M	15	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.25.21.RK.ST.2115	O	15	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9A	A	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9B	C	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9C	E	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9D	G	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9E	I	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9F	K	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9G	M	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
BLANK204.9H	O	17	TRUE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.25.21.RK.ST.1100	A	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.9.21.RK.ST.1500	C	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.9.21.RK.ST.1000	E	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.25.21.RK.ST.0500	G	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.8.21.RK.ST.0720	I	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.8.21.RK.ST.2130	K	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.8.21.RK.ST.1145	M	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.10.21.RK.ST.1100	O	19	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.10.21.RK.ST.0800	A	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.7.21.RK.ST.0800	C	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.6.21.RK.ST.1000	E	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.6.21.RK.ST.2145	G	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.5.21.RK.ST.1100	I	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.5.21.RK.ST.2200	K	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
1.9.21.RK.ST.0700	M	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
11.24.20.RK.ST.0530	O	21	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
11.27.20.RK.ST.1100	A	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
11.26.20.RK.ST.1500	C	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
11.26.20.RK.ST.2300	E	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
11.24.20.RK.ST.1900	G	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
11.24.20.RK.ST.1030	I	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
10.22.20.RK.ST.0900	K	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
10.21.20.RK.ST.1100	M	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
10.22.20.RK.ST.1600	O	23	FALSE	ABTX_11052_P204	ABTX_11052	ABTX_11052_204-215
10.21.20.RK.ST.1400	A	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.31.20.RK.ST.0730	C	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.29.20.RK.ST.1700	E	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.21.20.RK.ST.1230	G	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.20.20.RK.ST.0700	I	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.25.20.RK.ST.1200	K	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.28.20.RK.ST.0700	M	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.27.20.RK.ST.1700	O	2	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.23.20.RK.ST.1600	A	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.24.20.RK.ST.1400	C	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.27.20.RK.ST.0700	E	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.30.20.RK.ST.1100	G	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.9.20.RK.ST.1400	I	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.11.20.RK.ST.1000	K	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.11.20.RK.ST.1200	M	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.1.20.RK.ST.0900	O	4	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.9.20.RK.ST.1600	A	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.12.20.RK.ST.1930	C	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.12.20.RK.ST.1145	E	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.8.20.RK.ST.0700	G	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.6.20.RK.ST.1400	I	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.3.20.RK.ST.2200	K	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.3.20.RK.ST.1500	M	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.3.20.RK.ST.1800	O	6	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.2.20.RK.ST.0700	A	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.5.20.RK.ST.2200	C	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.5.20.RK.ST.1100	E	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.2.20.RK.ST.2130	G	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.7.20.RK.ST.0630	I	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.4.20.RK.ST.1330	K	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.16.20.RK.ST.1200	M	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.20.20.RK.ST.1100	O	8	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.16.20.RK.ST.0600	A	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.19.20.RK.ST.0800	C	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.18.20.RK.ST.0800	E	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.14.20.RK.ST.1130	G	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.14.20.RK.ST.0730	I	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.13.20.RK.ST.0930	K	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.17.20.RK.ST.0530	M	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.15.20.RK.ST.1130	O	10	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.10.20.RK.ST.0700	A	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.10.20.RK.ST.1400	C	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.9.20.RK.ST.1130	E	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
11.25.20.RK.ST.1830	G	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.11.20.RK.ST.0730	I	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.3.20.RK.ST.1300	K	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.8.20.RK.ST.1330	M	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.25.20.RK.ST.0900	O	12	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.5.20.RK.ST.0800	A	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.1.20.RK.ST.1100	C	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.25.20.RK.ST.2100	E	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.2.20.RK.ST.1200	G	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.30.20.RK.ST.0700	I	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.23.20.RK.ST.0700	K	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.2.20.RK.ST.1830	M	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.6.20.RK.ST.1630	O	14	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.28.20.RK.ST.0730	A	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.4.20.RK.ST.1130	C	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.7.20.RK.ST.1400	E	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.6.20.RK.ST.1200	G	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.5.20.RK.ST.1600	I	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.7.20.RK.ST.0730	K	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.27.20.RK.ST.2300	M	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.23.20.RK.ST.1100	O	16	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.25.20.RK.ST.1100	A	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
10.12.20.RK.ST.0700	C	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
9.29.20.RK.ST.1600	E	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.1.21.RK.ST.2130	G	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.3.21.RK.ST.1630	I	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.3.21.RK.ST.1000	K	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.3.21.RK.ST.0600	M	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.2.21.RK.ST.1030	O	18	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.1.21.RK.ST.1300	A	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.13.21.RK.ST.1400	C	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.24.21.RK.ST.0800	E	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.23.21.RK.ST.1000	G	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.12.21.RK.ST.2200	I	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.21.21.RK.ST.1300	K	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.12.21.RK.ST.1200	M	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.16.21.RK.ST.1300	O	20	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.20.21.RK.ST.1100	A	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.18.21.RK.ST.1900	C	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.14.21.RK.ST.0630	E	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.19.21.RK.ST.1200	G	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.19.21.RK.ST.0945	I	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.24.21.RK.ST.1100	K	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.24.21.RK.ST.0900	M	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.18.21.RK.ST.0800	O	22	FALSE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12A	A	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12B	C	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12C	E	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12D	G	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12E	I	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12F	K	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12G	M	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
BLANK207.12H	O	24	TRUE	ABTX_11052_P207	ABTX_11052	ABTX_11052_204-215
1.22.21.RK.ST.0700	B	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.25.20.RK.ST.1800	D	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.19.20.RK.ST.1000	F	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.18.20.RK.ST.1000	H	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.31.21.RK.ST.1000	J	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.21.20.RK.ST.2130	L	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.9.20.RK.ST.1000	N	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.20.20.RK.ST.0800	P	1	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.25.21.RK.ST.1000	B	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.22.20.RK.ST.0830	D	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.28.21.RK.ST.0700	F	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.17.21.RK.ST.0830	H	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.11.20.RK.ST.1000	J	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
8.7.21.RK.ST.0745	L	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
12.22.20.RK.ST.1930	N	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
7.23.21.RK.ST.1930	P	3	FALSE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
BLANK210.3A	B	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
BLANK210.3B	D	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
BLANK210.3C	F	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
BLANK210.3D	H	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
BLANK210.3E	J	5	TRUE	ABTX_11052_P210	ABTX_11052	ABTX_11052_204-215
